id,title,category,suitableSubject,season,priceTier,difficulty,coreLook,sceneKeywords,props,poses,colorDirection,riskNotes,searchQueries,referenceIds
"summer-vitality","春夏生命力写真","外景人像","单人女生/普通客片","春夏","199-399","容易","明亮、自由、自然动作、绿色或花草背景","草地；花海；公园；蓝天","花束；草帽；水果；浅色服装","走动回头；蹲下摸花；手遮阳光；侧身大笑；坐草地伸腿","低对比、暖肤、绿色干净、保留高光空气感","强光容易眯眼；绿色容易脏；户外天气不可控","春夏生命力写真 摄影参考；春夏生命力写真 小红书 拍摄姿势；春夏生命力写真 moodboard portrait；外景人像 人像拍摄 案例","doc-摄影姿势库-小红书笔记-00-笔记索引-md；00-小红书收藏-拍摄专辑-拍出春日生命力-解锁这6-招就够了-29；doc-摄影姿势库-拍摄指南-小清新少女风拍摄手册-md；doc-摄影姿势库-00-小红书收藏-拍摄专辑-md；00-小红书收藏-拍摄专辑-夏天就要拍草地和蓝天呀-文艺胶片风-40；00-笔记索引-夏天就要拍草地和蓝天呀-文艺胶片风-26；doc-摄影姿势库-小红书笔记-6a100805-生命力和漂亮我都要-md；00-小红书收藏-拍摄专辑-存一些生命力溢出屏幕的拍照姿势-1；00-小红书收藏-拍摄专辑-存一些浪漫生命力拍照姿势-明媚而自由-6；00-小红书收藏-拍摄专辑-来学-存6-个i人生命力拍照姿势-15"
"graduation-single","毕业季单人照","校园写真","毕业生/学生","5-7月","199-399","容易","青春、纪念感、校园符号、轻胶片","操场；教学楼；树荫；楼梯","学士帽；证书；花束；书包","抛帽；扶帽看镜头；抱花侧身；走廊回眸；坐台阶","清新胶片、肤色暖、绿色不过饱和","旺季场地拥挤；服装同质化；强日照下脸部阴影重","毕业季单人照 摄影参考；毕业季单人照 小红书 拍摄姿势；毕业季单人照 moodboard portrait；校园写真 人像拍摄 案例","00-小红书收藏-拍摄专辑-青春胶片感单人毕业照-i人拍照姿势合集-3；doc-摄影姿势库-00-小红书收藏-拍摄专辑-md；doc-摄影姿势库-小红书笔记-00-笔记索引-md；00-小红书收藏-拍摄专辑-存一组毕业拍照姿势-谁拍谁好看-9；00-小红书收藏-拍摄专辑-毕业照这样拍太好看了吧-10；doc-摄影姿势库-00-小红书收藏-视频拍摄专辑-md；00-小红书收藏-视频拍摄专辑-终于轮到我拍这个毕业转场啦-2；00-小红书收藏-拍摄专辑-夏天就要拍草地和蓝天呀-文艺胶片风-40；00-小红书收藏-拍摄专辑-是闪闪发光的青春呀-50；00-小红书收藏-拍摄专辑-拍了30多场校园写真-我复盘出11条翻车真相-52"
"new-chinese-qipao","新中式/旗袍写真","国风人像","国风/旗袍模特","全年","399-699","中等","含蓄、线条、古典场景、留白","园林；茶馆；老街；室内窗边","团扇；油纸伞；书卷；花枝","持扇半遮；侧身回眸；倚栏远眺；坐案前；抚花看远处","低饱和、冷暖克制、肤色干净、红绿不过艳","妆造影响成片上限；姿态要求更高；场地和道具需要协调","新中式/旗袍写真 摄影参考；新中式/旗袍写真 小红书 拍摄姿势；新中式/旗袍写真 moodboard portrait；国风人像 人像拍摄 案例","doc-摄影姿势库-小红书笔记-00-笔记索引-md；00-小红书收藏-拍摄专辑-新中式拍照姿势大全-4；00-小红书收藏-拍摄专辑-这组国风旗袍夯爆了-41；00-笔记索引-来咯-新中式拍照姿势大全-25；doc-摄影姿势库-00-姿势库总览-md；00-小红书收藏-拍摄专辑-i人也能拍出生命力-5个氧气感汉服拍照动作-18；doc-摄影姿势库-00-小红书收藏-拍摄专辑-md；doc-摄影姿势库-汉服-园林汉服-00-园林汉服姿势库-md；00-园林汉服姿势库-站立持花-1；00-园林汉服姿势库-回眸侧身-2"
"cafe-daily","咖啡馆日常写真","室内生活方式","单人女生/情侣","全年","199-399","容易","松弛、日常、暖调、故事感","窗边座位；吧台；门口；桌面","咖啡杯；书；耳机；甜点","托腮看窗外；拿杯低头笑；翻书侧脸；靠窗坐；手扶头发","暖棕、低饱和、中低对比、保留室内光感","场地许可；客流干扰；室内光线不足","咖啡馆日常写真 摄影参考；咖啡馆日常写真 小红书 拍摄姿势；咖啡馆日常写真 moodboard portrait；室内生活方式 人像拍摄 案例","doc-摄影姿势库-小红书笔记-00-笔记索引-md；doc-摄影姿势库-拍摄指南-小清新少女风拍摄手册-md；doc-摄影姿势库-00-小红书收藏-拍摄专辑-md；00-小红书收藏-拍摄专辑-8个咖啡店-下午茶拍照姿势-氛围感拉满-17；doc-摄影姿势库-汉服-园林汉服-pose-回眸侧身-md；pose-回眸侧身-条目-3-3；doc-摄影姿势库-汉服-园林汉服-pose-站立持花-md；pose-站立持花-条目-3-3；doc-摄影姿势库-汉服-室内汉服-pose-侧坐案前-md；asset-摄影姿势库-姿势示意图-坐姿-pexels-09-咖啡馆坐-jpg"
"urban-night","城市夜景电影感","夜景/情绪人像","单人/情侣/时尚客片","全年","399-699","中等","霓虹、低调、动感、电影截图感","街道；天桥；商场外立面；车灯背景","透明伞；耳机；外套","边走边回头；靠墙看远处；低头整理衣领；伞下侧脸；慢门动感","青橙或冷暖分离，控制肤色，压暗背景","噪点和糊片；安全和人流；肤色容易偏色","城市夜景电影感 摄影参考；城市夜景电影感 小红书 拍摄姿势；城市夜景电影感 moodboard portrait；夜景/情绪人像 人像拍摄 案例","00-小红书收藏-拍摄专辑-蔷薇花墙拍照太绝了-电影感写真这样拍-14；00-小红书收藏-拍摄专辑-蔷薇花墙拍照太绝了-电影感写真这样拍-32；00-小红书收藏-视频拍摄专辑-vlog没有电影感-90-新手缺这3个细节-3；00-小红书收藏-视频拍摄专辑-别再乱拍空镜-这才是电影感正确拍法-4；doc-摄影姿势库-小红书笔记-00-笔记索引-md；00-小红书收藏-拍摄专辑-如何在光影下拍出动感大片-21；00-小红书收藏-拍摄专辑-当我学会用电影视角拍照片-30；00-小红书收藏-拍摄专辑-五一在南京这么出片-34；00-小红书收藏-拍摄专辑-5月的蓝花楹是春天写给昆明的诗-43；doc-摄影姿势库-00-小红书收藏-视频拍摄专辑-md"
"video-vlog-cinematic","Vlog/短视频电影感","视频拍摄","视频创作者/个人IP","全年","399-699","中等","空镜、转场、运动镜头、生活叙事","街道；校园；咖啡馆；运动场","稳定器；耳机；包；运动道具","走路跟拍；推拉转场；回头看镜头；拿物件进入画面；空镜切主体","统一白平衡，适度颗粒，降低素材间色差","素材衔接不顺；收音和稳定性；剪辑时间成本","Vlog/短视频电影感 摄影参考；Vlog/短视频电影感 小红书 拍摄姿势；Vlog/短视频电影感 moodboard portrait；视频拍摄 人像拍摄 案例","doc-摄影姿势库-00-小红书收藏-视频拍摄专辑-md；00-小红书收藏-视频拍摄专辑-vlog没有电影感-90-新手缺这3个细节-3；00-小红书收藏-视频拍摄专辑-别再乱拍空镜-这才是电影感正确拍法-4；pixabay；00-小红书收藏-拍摄专辑-蔷薇花墙拍照太绝了-电影感写真这样拍-14；00-小红书收藏-拍摄专辑-蔷薇花墙拍照太绝了-电影感写真这样拍-32；00-小红书收藏-拍摄专辑-当我学会用电影视角拍照片-30；00-小红书收藏-视频拍摄专辑-终于轮到我拍这个毕业转场啦-2；pexels；00-小红书收藏-拍摄专辑-大疆稳定器使用技巧-35"
"couple-city-story","城市情侣故事感","情侣人像","情侣/纪念日客片","全年","399-699","中等","互动、生活感、城市环境和关系叙事","街角；地铁口；便利店；天桥","耳机；饮料；透明伞；外套","并肩走路聊天；一前一后回头；靠肩看远处；牵手穿过街道；近距离自然互动","自然肤色、轻胶片、城市色彩克制","互动容易僵硬；公共场景人流；两人肤色和曝光需要兼顾","城市情侣故事感 摄影参考；城市情侣故事感 小红书 拍摄姿势；城市情侣故事感 moodboard portrait；情侣人像 人像拍摄 案例","flickr-cc；doc-摄影姿势库-00-姿势库总览-md；doc-摄影姿势库-拍摄指南-小清新少女风拍摄手册-md；00-小红书收藏-拍摄专辑-五一在南京这么出片-34；00-小红书收藏-拍摄专辑-5月的蓝花楹是春天写给昆明的诗-43；小清新少女风拍摄手册-条目-28-28；doc-摄影姿势库-汉服-园林汉服-pose-回眸侧身-md；asset-摄影姿势库-姿势示意图-手部互动-05-撩头发-png；asset-摄影姿势库-姿势示意图-手部互动-06-托腮-png；pexels"
"beach-sunset","海边日落人像","海边人像","单人/情侣/旅拍","春夏秋","399-699","中等","逆光、风感、海面层次和日落暖色","沙滩；礁石；海岸公路；浅水区","长裙；草帽；薄纱；花束","迎风走动；提裙回头；坐礁石侧身；逆光剪影；沿海岸线奔跑","高光柔和、暖肤、蓝橙平衡、保留天空层次","黄金时间短；海风和盐雾；地面湿滑和器材安全","海边日落人像 摄影参考；海边日落人像 小红书 拍摄姿势；海边日落人像 moodboard portrait；海边人像 人像拍摄 案例","doc-摄影姿势库-小红书笔记-00-笔记索引-md；doc-摄影姿势库-00-小红书收藏-拍摄专辑-md；00-小红书收藏-拍摄专辑-学到了-海边拍照氛围感万能出片技巧-2；00-笔记索引-学到了-海边拍照氛围感-万能出片技巧-19；小清新少女风拍摄手册-条目-2-2；doc-摄影姿势库-汉服-园林汉服-pose-回眸侧身-md；pose-回眸侧身-条目-3-3；pose-站立持花-条目-3-3；asset-摄影姿势库-姿势示意图-站姿-pexels-04-逆光站-jpg；pexels"
"indoor-moody-window","室内窗边情绪人像","室内情绪人像","单人女生/个人写真","全年","399-699","中等","窗光、安静情绪、局部动作和明暗层次","窗边；床铺区；走廊；镜子前","白衬衫；书；杯子；薄纱帘","侧坐看窗外；手扶脸颊；倚墙低头；镜前整理头发；蜷腿坐床边","低饱和、柔和高光、阴影保留细节、肤色中性","室内亮度不足；背景容易杂乱；情绪引导要求高","室内窗边情绪人像 摄影参考；室内窗边情绪人像 小红书 拍摄姿势；室内窗边情绪人像 moodboard portrait；室内情绪人像 人像拍摄 案例","doc-摄影姿势库-汉服-室内汉服-00-室内汉服姿势库-md；00-室内汉服姿势库-倚栏远眺-2；pixabay；doc-摄影姿势库-00-姿势库总览-md；00-小红书收藏-拍摄专辑-i人也能拍出生命力-5个氧气感汉服拍照动作-18；00-小红书收藏-视频拍摄专辑-别再乱拍空镜-这才是电影感正确拍法-4；doc-摄影姿势库-小红书笔记-00-笔记索引-md；00-小红书收藏-拍摄专辑-新中式拍照姿势大全-4；00-小红书收藏-拍摄专辑-8个咖啡店-下午茶拍照姿势-氛围感拉满-17；00-小红书收藏-拍摄专辑-如何在光影下拍出动感大片-21"
"sports-dynamic","运动感动态写真","运动人像","运动爱好者/品牌客片","全年","399-699","中等","力量、速度、低机位和动作定格","运动场；健身房；街道；楼梯","球类；运动包；毛巾；水瓶","冲刺起步；跳跃定格；系鞋带低头；持球看镜头；训练间歇喘息","中高对比、清晰细节、肤色健康、背景降饱和","快门不足导致糊片；动作重复消耗体力；场地安全","运动感动态写真 摄影参考；运动感动态写真 小红书 拍摄姿势；运动感动态写真 moodboard portrait；运动人像 人像拍摄 案例","doc-摄影姿势库-00-小红书收藏-视频拍摄专辑-md；00-小红书收藏-视频拍摄专辑-网球大片怎么拍-1；pexels；pixabay；xiaohongshu；huaban；zcool；behance；flickr-cc；wikimedia"
