topicId,topicTitle,slotId,slotLabel,slotPurpose,referenceId,referenceTitle,category,platform,score,reason
"summer-vitality","春夏生命力写真","materialReference","素材参考","图片、视频、平台链接和本地示例图，只负责看画面/找素材，不承担姿势或调色决策。","pexels","Pexels","免费商用图片/视频","Pexels","15","命中选题关键词/场景；匹配素材参考；高优先级参考"
"summer-vitality","春夏生命力写真","materialReference","素材参考","图片、视频、平台链接和本地示例图，只负责看画面/找素材，不承担姿势或调色决策。","pixabay","Pixabay","免费商用图片/视频","Pixabay","15","命中选题关键词/场景；匹配素材参考；高优先级参考"
"summer-vitality","春夏生命力写真","materialReference","素材参考","图片、视频、平台链接和本地示例图，只负责看画面/找素材，不承担姿势或调色决策。","00-笔记索引-夏天就要拍草地和蓝天呀-文艺胶片风-26","夏天就要拍草地和蓝天呀！📷文艺胶片风","综合参考","小红书/Obsidian","15","命中选题关键词/场景；匹配素材参考"
"summer-vitality","春夏生命力写真","materialReference","素材参考","图片、视频、平台链接和本地示例图，只负责看画面/找素材，不承担姿势或调色决策。","asset-摄影姿势库-姿势示意图-坐姿-pexels-06-阳光台阶-jpg","pexels_06_阳光台阶","姿势/引导","本地素材","14","命中选题关键词/场景；匹配素材参考"
"summer-vitality","春夏生命力写真","materialReference","素材参考","图片、视频、平台链接和本地示例图，只负责看画面/找素材，不承担姿势或调色决策。","asset-摄影姿势库-汉服-园林汉服-示例图-pose-01-jpg","pose_01","国风/汉服","本地素材","14","匹配素材参考"
"summer-vitality","春夏生命力写真","materialReference","素材参考","图片、视频、平台链接和本地示例图，只负责看画面/找素材，不承担姿势或调色决策。","asset-摄影姿势库-汉服-园林汉服-示例图-pose-02-jpg","pose_02","国风/汉服","本地素材","14","匹配素材参考"
"summer-vitality","春夏生命力写真","materialReference","素材参考","图片、视频、平台链接和本地示例图，只负责看画面/找素材，不承担姿势或调色决策。","asset-摄影姿势库-汉服-园林汉服-示例图-pose-03-jpg","pose_03","国风/汉服","本地素材","14","匹配素材参考"
"summer-vitality","春夏生命力写真","materialReference","素材参考","图片、视频、平台链接和本地示例图，只负责看画面/找素材，不承担姿势或调色决策。","asset-摄影姿势库-汉服-园林汉服-示例图-pose-04-jpg","pose_04","国风/汉服","本地素材","14","匹配素材参考"
"summer-vitality","春夏生命力写真","materialReference","素材参考","图片、视频、平台链接和本地示例图，只负责看画面/找素材，不承担姿势或调色决策。","flickr-cc","Flickr Creative Commons","授权可筛选图片","Flickr","12","命中选题关键词/场景；匹配素材参考；高优先级参考"
"summer-vitality","春夏生命力写真","materialReference","素材参考","图片、视频、平台链接和本地示例图，只负责看画面/找素材，不承担姿势或调色决策。","asset-摄影姿势库-姿势示意图-坐姿-04-台阶坐姿-png","04_台阶坐姿","姿势/引导","本地素材","11","匹配素材参考"
"summer-vitality","春夏生命力写真","shotAngle","拍摄角度/景别","决定镜头距离、机位、运动方式和画面覆盖范围。","doc-摄影姿势库-汉服-园林汉服-pose-回眸侧身-md","回眸侧身姿势","国风/汉服","Obsidian","19","匹配拍摄角度/景别"
"summer-vitality","春夏生命力写真","shotAngle","拍摄角度/景别","决定镜头距离、机位、运动方式和画面覆盖范围。","doc-摄影姿势库-汉服-园林汉服-pose-站立持花-md","站立持花姿势","国风/汉服","Obsidian","17","命中选题关键词/场景；匹配拍摄角度/景别"
"summer-vitality","春夏生命力写真","shotAngle","拍摄角度/景别","决定镜头距离、机位、运动方式和画面覆盖范围。","00-小红书收藏-拍摄专辑-拍出春日生命力-解锁这6-招就够了-29","拍出春日生命力 解锁这6⃣️招就够了","构图/技巧","小红书/Obsidian","15","命中选题关键词/场景；匹配拍摄角度/景别；高优先级参考"
"summer-vitality","春夏生命力写真","shotAngle","拍摄角度/景别","决定镜头距离、机位、运动方式和画面覆盖范围。","00-小红书收藏-拍摄专辑-拍花海学会这个5-个万能构图技巧就够了-28","拍花海学会这个5⃣️个万能构图技巧就够了","构图/技巧","小红书/Obsidian","14","命中选题关键词/场景；匹配拍摄角度/景别；高优先级参考"
"summer-vitality","春夏生命力写真","shotAngle","拍摄角度/景别","决定镜头距离、机位、运动方式和画面覆盖范围。","doc-摄影姿势库-汉服-园林汉服-00-园林汉服姿势库-md","汉服园林拍照姿势库","国风/汉服","Obsidian","14","匹配拍摄角度/景别"
"summer-vitality","春夏生命力写真","shotAngle","拍摄角度/景别","决定镜头距离、机位、运动方式和画面覆盖范围。","pose-回眸侧身-条目-1-1","条目 1","国风/汉服","Obsidian","14","匹配拍摄角度/景别"
"summer-vitality","春夏生命力写真","poseGuide","姿势引导","现场给模特说什么、身体怎么摆、动作怎么引导。","doc-摄影姿势库-汉服-园林汉服-00-园林汉服姿势库-md","汉服园林拍照姿势库","国风/汉服","Obsidian","24","匹配姿势引导"
"summer-vitality","春夏生命力写真","poseGuide","姿势引导","现场给模特说什么、身体怎么摆、动作怎么引导。","doc-摄影姿势库-小红书笔记-6a100805-生命力和漂亮我都要-md","生命力和漂亮我都要！🌸","姿势/引导","小红书/Obsidian","22","命中选题关键词/场景；匹配姿势引导"
"summer-vitality","春夏生命力写真","poseGuide","姿势引导","现场给模特说什么、身体怎么摆、动作怎么引导。","小清新少女风拍摄手册-躺靠物体-60","躺靠物体","姿势/引导","Obsidian","21","命中选题关键词/场景；匹配姿势引导"
"summer-vitality","春夏生命力写真","poseGuide","姿势引导","现场给模特说什么、身体怎么摆、动作怎么引导。","doc-摄影姿势库-汉服-园林汉服-pose-回眸侧身-md","回眸侧身姿势","国风/汉服","Obsidian","21","匹配姿势引导"
"summer-vitality","春夏生命力写真","poseGuide","姿势引导","现场给模特说什么、身体怎么摆、动作怎么引导。","doc-摄影姿势库-姿势示意图-readme-真实参考-md","README_真实参考","姿势/引导","Obsidian","20","匹配姿势引导"
"summer-vitality","春夏生命力写真","poseGuide","姿势引导","现场给模特说什么、身体怎么摆、动作怎么引导。","asset-摄影姿势库-姿势示意图-坐姿-pexels-06-阳光台阶-jpg","pexels_06_阳光台阶","姿势/引导","本地素材","20","命中选题关键词/场景；匹配姿势引导"
"summer-vitality","春夏生命力写真","composition","构图","选择三分、居中、线条、留白、前后景层次等构图策略。","00-小红书收藏-拍摄专辑-拍出春日生命力-解锁这6-招就够了-29","拍出春日生命力 解锁这6⃣️招就够了","构图/技巧","小红书/Obsidian","12","命中选题关键词/场景；匹配构图；高优先级参考"
"summer-vitality","春夏生命力写真","composition","构图","选择三分、居中、线条、留白、前后景层次等构图策略。","00-小红书收藏-拍摄专辑-拍花海学会这个5-个万能构图技巧就够了-28","拍花海学会这个5⃣️个万能构图技巧就够了","构图/技巧","小红书/Obsidian","11","命中选题关键词/场景；匹配构图；高优先级参考"
"summer-vitality","春夏生命力写真","composition","构图","选择三分、居中、线条、留白、前后景层次等构图策略。","pose-侧坐案前-条目-5-5","条目 5","国风/汉服","Obsidian","11","匹配构图"
"summer-vitality","春夏生命力写真","composition","构图","选择三分、居中、线条、留白、前后景层次等构图策略。","00-小红书收藏-拍摄专辑-尼康镜头下的浪漫春日-拍摄引导-38","尼康镜头下的浪漫春日｜拍摄引导","构图/技巧","小红书/Obsidian","8","命中选题关键词/场景；匹配构图"
"summer-vitality","春夏生命力写真","composition","构图","选择三分、居中、线条、留白、前后景层次等构图策略。","doc-摄影姿势库-汉服-园林汉服-pose-站立持花-md","站立持花姿势","国风/汉服","Obsidian","8","命中选题关键词/场景；匹配构图"
"summer-vitality","春夏生命力写真","composition","构图","选择三分、居中、线条、留白、前后景层次等构图策略。","huaban","花瓣网","灵感板/视觉风格","花瓣","6","命中选题关键词/场景；匹配构图；高优先级参考"
"summer-vitality","春夏生命力写真","lighting","光线","决定自然光、窗边光、逆光、夜景霓虹、光影对比等现场条件。","doc-摄影姿势库-拍摄指南-小清新少女风拍摄手册-md","小清新少女风拍摄手册","姿势/引导","Obsidian","16","命中选题关键词/场景；匹配光线；高优先级参考"
