id,title,kind,category,platform,sourceUrl,sourceFile,author,tags,summary,materialUrls,searchQueries,applicableScene,applicableSubject,replicability,shootingRisk,coreFocus,priceTier,worth,whyWorth,licenseClass,shotSizeNormalized,cameraMovement,compositionNormalized,workflowStage,seoTitle,seoKeywords,usageNote,status,priority
"pexels","Pexels","external_library","免费商用图片/视频","Pexels","https://www.pexels.com/search/{query}/","","","免费商用；图片；视频；人像；场景参考","适合补充人像、场景、姿势视觉参考；可用 Pexels API 自动拉图。","https://www.pexels.com/search/{query}/","Pexels 免费商用图片/视频 免费商用 图片 视频 人像 场景参考；Pexels 摄影参考；免费商用图片/视频 人像拍摄；免费商用 图片 视频 pose reference","通用人像场景","视频创作者","容易","需要运动镜头和剪辑配合","姿势引导","399-699","高","可直接转化为拍摄选题、姿势引导或成片风格参考。","public-domain","medium-shot","static","saliency-focus","shot-planning","Pexels - 免费商用图片/视频摄影参考","Pexels；免费商用图片/视频；免费商用；图片；视频；人像；场景参考；摄影参考；人像摄影；拍摄姿势；moodboard","适合补充人像、场景、姿势视觉参考；可用 Pexels API 自动拉图。","可连接","高"
"pixabay","Pixabay","external_library","免费商用图片/视频","Pixabay","https://pixabay.com/images/search/{query}/","","","免费商用；图片；视频；素材","适合找通用素材、视频空镜和商业安全素材。","https://pixabay.com/images/search/{query}/","Pixabay 免费商用图片/视频 免费商用 图片 视频 素材；Pixabay 摄影参考；免费商用图片/视频 人像拍摄；免费商用 图片 视频 pose reference","街道/室内/环境空镜","商业客户","中等","需要运动镜头和剪辑配合","综合参考","699+/商业单","高","可直接转化为拍摄选题、姿势引导或成片风格参考。","public-domain","extreme-wide-shot","static","saliency-focus","inspiration","Pixabay - 免费商用图片/视频摄影参考","Pixabay；免费商用图片/视频；免费商用；图片；视频；素材；摄影参考；人像摄影；拍摄姿势；moodboard","适合找通用素材、视频空镜和商业安全素材。","可连接","高"
"xiaohongshu","小红书","external_library","中文案例/拍摄过程","小红书","https://www.xiaohongshu.com/search_result?keyword={query}&source=web_search_result_notes","","","中文案例；拍摄过程；姿势；调色；爆款标题","适合看真实案例、拍摄过程、中文标题和用户偏好；只保存链接和摘要。","https://www.xiaohongshu.com/search_result?keyword={query}&source=web_search_result_notes","小红书 中文案例/拍摄过程 中文案例 拍摄过程 姿势 调色 爆款标题；小红书 摄影参考；中文案例/拍摄过程 人像拍摄；中文案例 拍摄过程 姿势 pose reference","通用人像场景","单人女生/普通客片","容易","常规沟通和审美匹配风险","姿势引导；色彩后期；发布表达","199-399","高","可直接转化为拍摄选题、姿势引导或成片风格参考。","platform-link-only","medium-shot","static","saliency-focus","publishing","小红书 - 中文案例/拍摄过程摄影参考","小红书；中文案例/拍摄过程；中文案例；拍摄过程；姿势；调色；爆款标题；摄影参考；人像摄影；拍摄姿势；moodboard","适合看真实案例、拍摄过程、中文标题和用户偏好；只保存链接和摘要。","可连接","高"
"huaban","花瓣网","external_library","灵感板/视觉风格","花瓣","https://huaban.com/search?q={query}","","","灵感板；风格参考；构图；配色","适合做 moodboard 和视觉方向，不作为版权素材直接使用。","https://huaban.com/search?q={query}","花瓣网 灵感板/视觉风格 灵感板 风格参考 构图 配色；花瓣网 摄影参考；灵感板/视觉风格 人像拍摄；灵感板 风格参考 构图 pose reference","通用人像场景","单人女生/普通客片","中等","常规沟通和审美匹配风险","构图镜头","99-399","高","可直接转化为拍摄选题、姿势引导或成片风格参考。","platform-link-only","medium-shot","static","saliency-focus","shot-planning","花瓣网 - 灵感板/视觉风格摄影参考","花瓣网；灵感板/视觉风格；灵感板；风格参考；构图；配色；摄影参考；人像摄影；拍摄姿势；moodboard","适合做 moodboard 和视觉方向，不作为版权素材直接使用。","可连接","高"
"zcool","站酷","external_library","国内作品案例","站酷","https://www.zcool.com.cn/search/content?word={query}","","","作品集；商业摄影；国内审美；案例","适合看成片表达、排版和商业项目包装。","https://www.zcool.com.cn/search/content?word={query}","站酷 国内作品案例 作品集 商业摄影 国内审美 案例；站酷 摄影参考；国内作品案例 人像拍摄；作品集 商业摄影 国内审美 pose reference","通用人像场景","商业客户","中等","常规沟通和审美匹配风险","姿势引导","699+/商业单","中","适合作为检索补充或局部灵感。","platform-link-only","long-shot","static","saliency-focus","inspiration","站酷 - 国内作品案例摄影参考","站酷；国内作品案例；作品集；商业摄影；国内审美；案例；摄影参考；人像摄影；拍摄姿势；moodboard","适合看成片表达、排版和商业项目包装。","可连接","高"
"behance","Behance","external_library","海外商业作品","Behance","https://www.behance.net/search/projects?field=photography&search={query}","","","商业摄影；作品集；海外审美；品牌","适合找高质量项目结构、系列叙事和商业展示方式。","https://www.behance.net/search/projects?field=photography&search={query}","Behance 海外商业作品 商业摄影 作品集 海外审美 品牌；Behance 摄影参考；海外商业作品 人像拍摄；商业摄影 作品集 海外审美 pose reference","通用人像场景","商业客户","中等","常规沟通和审美匹配风险","综合参考","699+/商业单","中","适合作为检索补充或局部灵感。","platform-link-only","medium-shot","static","saliency-focus","inspiration","Behance - 海外商业作品摄影参考","Behance；海外商业作品；商业摄影；作品集；海外审美；品牌；摄影参考；人像摄影；拍摄姿势；moodboard","适合找高质量项目结构、系列叙事和商业展示方式。","可连接","高"
"flickr-cc","Flickr Creative Commons","external_library","授权可筛选图片","Flickr","https://www.flickr.com/search/?text={query}&license=2%2C3%2C4%2C5%2C6%2C9","","","Creative Commons；授权筛选；纪实；资料图","适合需要明确授权来源的参考图，使用前仍需核对具体 license。","https://www.flickr.com/search/?text={query}&license=2%2C3%2C4%2C5%2C6%2C9","Flickr Creative Commons 授权可筛选图片 Creative Commons 授权筛选 纪实 资料图；Flickr Creative Commons 摄影参考；授权可筛选图片 人像拍摄；Creative Commons 授权筛选 纪实 pose reference","通用人像场景","单人女生/普通客片","中等","常规沟通和审美匹配风险","综合参考","99-399","中","适合作为检索补充或局部灵感。","attribution-required","medium-shot","static","saliency-focus","inspiration","Flickr Creative Commons - 授权可筛选图片摄影参考","Flickr Creative Commons；授权可筛选图片；Creative Commons；授权筛选；纪实；资料图；摄影参考；人像摄影；拍摄姿势；moodboard","适合需要明确授权来源的参考图，使用前仍需核对具体 license。","可连接","高"
"wikimedia","Wikimedia Commons","external_library","公共资料/历史图像","Wikimedia","https://commons.wikimedia.org/w/index.php?search={query}&title=Special:MediaSearch","","","公共资料；历史；服饰；道具；建筑","适合查历史服饰、建筑、道具和公开资料图。","https://commons.wikimedia.org/w/index.php?search={query}&title=Special:MediaSearch","Wikimedia Commons 公共资料/历史图像 公共资料 历史 服饰 道具 建筑；Wikimedia Commons 摄影参考；公共资料/历史图像 人像拍摄；公共资料 历史 服饰 pose reference","通用人像场景","单人女生/普通客片","中等","常规沟通和审美匹配风险","综合参考","99-399","中","适合作为检索补充或局部灵感。","public-domain","medium-shot","static","saliency-focus","inspiration","Wikimedia Commons - 公共资料/历史图像摄影参考","Wikimedia Commons；公共资料/历史图像；公共资料；历史；服饰；道具；建筑；摄影参考；人像摄影；拍摄姿势；moodboard","适合查历史服饰、建筑、道具和公开资料图。","可连接","高"
"doc-摄影姿势库-00-姿势库总览-md","摄影姿势库总览","obsidian_note","国风/汉服","Obsidian","","摄影姿势库/00_姿势库总览.md","","姿势库；索引；拍照参考；汉服","摄影姿势库总览 所有姿势均包含：动作要点、推荐参数、示例图 按主题分类 汉服 园林汉服 — 户外园林场景 室内汉服 — 影棚/室内古风场景 婚纱 待整理 情侣 待整理 通用姿势 站立姿势 坐姿 侧身姿势 回眸姿势 按难度分类 难度 姿势数 说明 ⭐ 入门 简单易学，适合新手 ⭐⭐ 进阶 4 需要一定肢体控制 ⭐⭐⭐ 高级 适合有经验的模特/摄影师 精选图库 ","","摄影姿势库总览 国风/汉服 姿势库 索引 拍照参考 汉服；摄影姿势库总览 摄影参考；国风/汉服 人像拍摄；姿势库 索引 拍照参考 pose reference","园林/古风室内","情侣","中等","妆造/服装/道具影响很大","姿势引导","699+/商业单","高","可直接转化为拍摄选题、姿势引导或成片风格参考。","local-private-reference","medium-shot","static","saliency-focus","shot-planning","摄影姿势库总览 - 国风/汉服摄影参考","摄影姿势库总览；国风/汉服；姿势库；索引；拍照参考；汉服；摄影参考；人像摄影；拍摄姿势；moodboard","从 Obsidian 笔记抽取，可作为拍摄方案和参考检索的源材料。","本地可用","高"
"00-姿势库总览-条目-1-1","条目 1","obsidian_table_row","姿势/引导","Obsidian","","摄影姿势库/00_姿势库总览.md","","姿势库；索引；拍照参考","简单易学，适合新手","","条目 1 姿势/引导 姿势库 索引 拍照参考；条目 1 摄影参考；姿势/引导 人像拍摄；姿势库 索引 拍照参考 pose reference","通用人像场景","单人女生/普通客片","容易","常规沟通和审美匹配风险","姿势引导","199-399","中","适合作为检索补充或局部灵感。","local-private-reference","medium-shot","static","saliency-focus","shot-planning","条目 1 - 姿势/引导摄影参考","条目 1；姿势/引导；姿势库；索引；拍照参考；摄影参考；人像摄影；拍摄姿势；moodboard","从 Obsidian 表格抽取；建议复核原链接后补充作品截图、视频链接和授权备注。","待复核","中"
