topicId,topicTitle,shotId,name,shotSize,cameraAngle,cameraMovement,composition,lens,posePrompt,lighting,purpose,referenceIds,executionNote
"summer-vitality","春夏生命力写真","summer-vitality-shot-1","建立环境","long-shot","平视或略低机位","static","foreground-background-layering","24-35mm","走动回头","顺光/环境光","交代草地和人物关系","doc-摄影姿势库-汉服-园林汉服-pose-回眸侧身-md；doc-摄影姿势库-汉服-园林汉服-00-园林汉服姿势库-md；00-小红书收藏-拍摄专辑-拍出春日生命力-解锁这6-招就够了-29；doc-摄影姿势库-拍摄指南-小清新少女风拍摄手册-md","这一镜只使用拍摄角度/姿势/构图/光线槽位的素材，不混用 LUT 或文案素材。"
"summer-vitality","春夏生命力写真","summer-vitality-shot-2","主体半身","medium-shot","平视，略侧 30 度","static","rule-of-thirds","35-50mm","蹲下摸花","侧光/窗边光","稳定出片，保证脸部和服装信息","doc-摄影姿势库-汉服-园林汉服-pose-站立持花-md；doc-摄影姿势库-小红书笔记-6a100805-生命力和漂亮我都要-md；00-小红书收藏-拍摄专辑-拍花海学会这个5-个万能构图技巧就够了-28；00-笔记索引-阳光下的活人感大片-24","这一镜只使用拍摄角度/姿势/构图/光线槽位的素材，不混用 LUT 或文案素材。"
"summer-vitality","春夏生命力写真","summer-vitality-shot-3","情绪特写","close-up","略高或侧逆光","static","saliency-focus","50-85mm","手遮阳光","逆光/轮廓光","抓眼神、手部和情绪细节","00-小红书收藏-拍摄专辑-拍出春日生命力-解锁这6-招就够了-29；小清新少女风拍摄手册-躺靠物体-60；pose-侧坐案前-条目-5-5；00-笔记索引-用全屏-live-走进我的夏日阳光农场-27","这一镜只使用拍摄角度/姿势/构图/光线槽位的素材，不混用 LUT 或文案素材。"
"graduation-single","毕业季单人照","graduation-single-shot-1","建立环境","long-shot","平视或略低机位","static","foreground-background-layering","24-35mm","抛帽","顺光/环境光","交代操场和人物关系","doc-摄影姿势库-汉服-园林汉服-pose-回眸侧身-md；doc-摄影姿势库-汉服-园林汉服-00-园林汉服姿势库-md；pose-侧坐案前-条目-5-5；doc-摄影姿势库-拍摄指南-小清新少女风拍摄手册-md","这一镜只使用拍摄角度/姿势/构图/光线槽位的素材，不混用 LUT 或文案素材。"
"graduation-single","毕业季单人照","graduation-single-shot-2","主体半身","medium-shot","平视，略侧 30 度","static","rule-of-thirds","35-50mm","扶帽看镜头","侧光/窗边光","稳定出片，保证脸部和服装信息","doc-摄影姿势库-汉服-园林汉服-00-园林汉服姿势库-md；doc-摄影姿势库-汉服-园林汉服-pose-回眸侧身-md；小清新少女风拍摄手册-走楼梯-46；00-笔记索引-如何在光影下拍出动感大片-22","这一镜只使用拍摄角度/姿势/构图/光线槽位的素材，不混用 LUT 或文案素材。"
"graduation-single","毕业季单人照","graduation-single-shot-3","情绪特写","close-up","略高或侧逆光","static","saliency-focus","50-85mm","抱花侧身","逆光/轮廓光","抓眼神、手部和情绪细节","pose-回眸侧身-条目-1-1；00-小红书收藏-拍摄专辑-存一组毕业拍照姿势-谁拍谁好看-9；huaban；00-笔记索引-阳光下的活人感大片-24","这一镜只使用拍摄角度/姿势/构图/光线槽位的素材，不混用 LUT 或文案素材。"
"new-chinese-qipao","新中式/旗袍写真","new-chinese-qipao-shot-1","建立环境","long-shot","平视或略低机位","static","foreground-background-layering","24-35mm","持扇半遮","顺光/环境光","交代园林和人物关系","doc-摄影姿势库-汉服-园林汉服-pose-回眸侧身-md；doc-摄影姿势库-汉服-园林汉服-00-园林汉服姿势库-md；pose-侧坐案前-条目-5-5；doc-摄影姿势库-汉服-室内汉服-00-室内汉服姿势库-md","这一镜只使用拍摄角度/姿势/构图/光线槽位的素材，不混用 LUT 或文案素材。"
"new-chinese-qipao","新中式/旗袍写真","new-chinese-qipao-shot-2","主体半身","medium-shot","平视，略侧 30 度","static","rule-of-thirds","35-50mm","侧身回眸","侧光/窗边光","稳定出片，保证脸部和服装信息","doc-摄影姿势库-汉服-室内汉服-pose-侧坐案前-md；doc-摄影姿势库-汉服-园林汉服-pose-回眸侧身-md","这一镜只使用拍摄角度/姿势/构图/光线槽位的素材，不混用 LUT 或文案素材。"
"new-chinese-qipao","新中式/旗袍写真","new-chinese-qipao-shot-3","情绪特写","close-up","略高或侧逆光","static","saliency-focus","50-85mm","倚栏远眺","逆光/轮廓光","抓眼神、手部和情绪细节","doc-摄影姿势库-汉服-园林汉服-00-园林汉服姿势库-md；doc-摄影姿势库-汉服-室内汉服-00-室内汉服姿势库-md；00-室内汉服姿势库-倚栏远眺-2","这一镜只使用拍摄角度/姿势/构图/光线槽位的素材，不混用 LUT 或文案素材。"
"cafe-daily","咖啡馆日常写真","cafe-daily-shot-1","建立环境","long-shot","平视或略低机位","static","foreground-background-layering","24-35mm","托腮看窗外","顺光/环境光","交代窗边座位和人物关系","doc-摄影姿势库-汉服-园林汉服-pose-回眸侧身-md；doc-摄影姿势库-汉服-园林汉服-00-园林汉服姿势库-md；pose-侧坐案前-条目-5-5；doc-摄影姿势库-拍摄指南-小清新少女风拍摄手册-md","这一镜只使用拍摄角度/姿势/构图/光线槽位的素材，不混用 LUT 或文案素材。"
